LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete
MyShubhLife,,Portfolio 2,16.96,2024-03-31,2026-01-14 06:23:32,Completed
Navi Finserv,,1,,2025-05-31,2026-01-14 06:23:33,Partial
Navi Finserv,,3,,2025-05-31,2026-01-14 06:23:33,Partial
Ninjacart Services Private Limited,,,,2025-12-31,2026-01-14 06:23:34,Partial
OkCredit,,1,50.4,2025-01-01,2026-01-14 06:23:34,Completed
OkCredit,,2,34.6,2025-01-01,2026-01-14 06:23:34,Completed
OkCredit,,3,33.2,2025-01-01,2026-01-14 06:23:34,Completed
OkCredit,,4*,4.6,2025-01-01,2026-01-14 06:23:34,Completed
OnEMI Technlology Solutions Limited,1,Portfolio 1,167.87,2025-12-31,2026-01-14 06:23:35,Completed
OnEMI Technlology Solutions Limited,2,Portfolio 1,78.58,2025-12-31,2026-01-14 06:23:35,Completed
OnEMI Technlology Solutions Limited,,Portfolio 2,180.47,2025-12-31,2026-01-14 06:23:35,Completed
OnEMI Technlology Solutions Limited,,Portfolio 3,384.21,2025-12-31,2026-01-14 06:23:35,Completed
OnEMI Technlology Solutions Limited,3,Portfolio 1,137.33,2025-12-31,2026-01-14 06:23:35,Completed
OnEMI Technlology Solutions Limited,,Portfolio 2,379.85,2025-12-31,2026-01-14 06:23:35,Completed
OnEMI Technlology Solutions Limited,4,Portfolio 1,0.37,2025-12-31,2026-01-14 06:23:35,Completed
OnionLife Private Limited,,Portfolio 1,18.28,2025-12-31,2026-01-14 06:23:35,Completed
OnionLife Private Limited,,Portfolio 2,8.08,2025-12-31,2026-01-14 06:23:35,Completed
OnionLife Private Limited,,Portfolio 3,7.88,2025-12-31,2026-01-14 06:23:35,Completed
OnionLife Private Limited,,Portfolio 4,5.54,2025-12-31,2026-01-14 06:23:35,Completed
OnionLife Private Limited,,Portfolio 5,2.31,2025-12-31,2026-01-14 06:23:35,Completed
OnionLife Private Limited,,Portfolio 6,2.23,2025-12-31,2026-01-14 06:23:35,Completed
OnionLife Private Limited,,Portfolio 7,1.84,2025-12-31,2026-01-14 06:23:35,Completed
OnionLife Private Limited,,Portfolio 8,1.67,2025-12-31,2026-01-14 06:23:35,Completed
OnionLife Private Limited,,Portfolio 9,0.01,2025-12-31,2026-01-14 06:23:35,Completed
PhonePe Lending Services Private Limited,,,,2025-12-31,2026-01-14 06:23:45,Partial
PhonePe Lending Services Private Limited,1,Portfolio 1,363.8,2025-12-31,2026-01-14 06:23:45,Partial
PhonePe Lending Services Private Limited,2,Portfolio 2,613.0,2025-12-31,2026-01-14 06:23:45,Partial
PhonePe Lending Services Private Limited,3,Portfolio 3,55.7,2025-12-31,2026-01-14 06:23:45,Partial
Revfin Services Private Limited,,,,2025-12-31,2026-01-14 06:23:51,Partial
SaveIN Fintech Pvt Ltd,,Cohort 1,50.0,2025-12-31,2026-01-14 06:23:52,Completed
SaveIN Fintech Pvt Ltd,,Cohort 2,30.0,2025-12-31,2026-01-14 06:23:52,Completed
SaveIN Fintech Pvt Ltd,,Cohort 3,50.0,2025-12-31,2026-01-14 06:23:52,Completed
SaveIN Fintech Pvt Ltd,,Cohort 4,20.0,2025-12-31,2026-01-14 06:23:52,Completed
SaveIN Fintech Pvt Ltd,,Cohort 5,25.0,2025-12-31,2026-01-14 06:23:52,Completed
SaveIN Fintech Pvt Ltd,,Cohort 6,20.0,2025-12-31,2026-01-14 06:23:52,Completed
