LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete,,,
CRED,A,A9,371.83,31-12-2025,14-01-2026 09:27,Completed,,,True Credits
CRED,A,A10,465.65,31-12-2025,14-01-2026 09:27,Completed,,,Vaibhav Vyapaar Private Limited (VVPL)
CRED,A,A11,736.29,31-12-2025,14-01-2026 09:27,Completed,,,
CRED,A,A12,979.55,31-12-2025,14-01-2026 09:27,Completed,,,
CRED,B,B1,36.57,31-12-2025,14-01-2026 09:27,Completed,,,
CRED,C,C1.1,309.96,31-12-2025,14-01-2026 09:27,Completed,,,
CRED,C,C2.1,68.64,31-12-2025,14-01-2026 09:27,Completed,,,
CRED,C,C2.2,468.67,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,A,A1,98.33,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,A,A2,71.73,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,A,A3,77.09,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,A,A4,111.91,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,A,A5,203.46,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,A,A6,196.54,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,A,A7,253.24,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,A,A8,346.64,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,A,A9,371.83,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,A,A10,465.65,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,A,A11,736.29,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,A,A12,979.55,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,B,B1,36.57,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,C,C1.1,309.96,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,C,C2.1,68.64,31-12-2025,14-01-2026 09:27,Completed,,,
CreditVidya,C,C2.2,468.67,31-12-2025,14-01-2026 09:27,Completed,,,
Fingel Management Services Pvt. Ltd.,,Portfolio - 1,0.05,30-06-2023,14-01-2026 09:27,Completed,,,
Flexi Payment,Portfolio 1,Portfolio 1,19.97,31-05-2025,14-01-2026 09:28,Completed,,,
Flexi Payment,Portfolio 2,Portfolio 2,3.96,31-05-2025,14-01-2026 09:28,Completed,,,
Flexi Payment,Portfolio 3,Portfolio 3,1.06,31-05-2025,14-01-2026 09:28,Completed,,,
Flexi Payment,Portfolio 4,Portfolio 4,0.31,31-05-2025,14-01-2026 09:28,Completed,,,
Flexi Payment,Portfolio 5,Portfolio 5,0.21,31-05-2025,14-01-2026 09:28,Completed,,,
Flexi Payment,Portfolio 6,Portfolio 6,0.82,31-05-2025,14-01-2026 09:28,Completed,,,
Flexi Payment,Portfolio 7,Portfolio 7,0.59,31-05-2025,14-01-2026 09:28,Completed,,,
GetVantage Tech Private Limited,,1,0.39,31-10-2025,14-01-2026 09:28,Completed,,,
Groww Credit,Portfolio A1,Portfolio A1,13.16,31-12-2025,14-01-2026 09:28,Completed,,,
Kissht,1,Portfolio 1,167.87,31-12-2025,14-01-2026 09:28,Completed,,,
Kissht,2,Portfolio 1,78.58,31-12-2025,14-01-2026 09:28,Completed,,,
Kissht,2,Portfolio 2,180.47,31-12-2025,14-01-2026 09:28,Completed,,,
Kissht,2,Portfolio 3,384.21,31-12-2025,14-01-2026 09:28,Completed,,,
Kissht,3,Portfolio 1,137.33,31-12-2025,14-01-2026 09:28,Completed,,,
Kissht,3,Portfolio 2,379.85,31-12-2025,14-01-2026 09:28,Completed,,,
Kissht,4,Portfolio 1,0.37,31-12-2025,14-01-2026 09:28,Completed,,,
KrazyBee Services Limited,,Portfolio- 1,1396.76,31-12-2025,14-01-2026 09:28,Completed,,,
KrazyBee Services Limited,,Portfolio- 2,5006.15,31-12-2025,14-01-2026 09:28,Completed,,,
KrazyBee Services Limited,,Portfolio- 3,1769.54,31-12-2025,14-01-2026 09:28,Completed,,,
KrazyBee Services Limited,,Portfolio- 4,3640.28,31-12-2025,14-01-2026 09:28,Completed,,,
KrazyBee Services Limited,,Portfolio- 5,1591.03,31-12-2025,14-01-2026 09:28,Completed,,,
KrazyBee Services Limited,,Portfolio- 6,1507.95,31-12-2025,14-01-2026 09:28,Completed,,,
KrazyBee Services Limited,,Portfolio- 7,967.54,31-12-2025,14-01-2026 09:28,Completed,,,
KrazyBee Services Limited,,Portfolio- 8,933.64,31-12-2025,14-01-2026 09:28,Completed,,,
KrazyBee Services Limited,,Portfolio- 9,337.13,31-12-2025,14-01-2026 09:28,Completed,,,
MyShubhLife,,Portfolio 1,14.9,31-03-2024,14-01-2026 09:28,Completed,,,
MyShubhLife,,Portfolio 2,16.96,31-03-2024,14-01-2026 09:28,Completed,,,
Navi Finserv,,a,159.5,31-05-2025,14-01-2026 09:28,Completed,,,
Navi Finserv,,b,118.5,31-05-2025,14-01-2026 09:28,Completed,,,
Navi Finserv,,c,10.55,31-05-2025,14-01-2026 09:28,Completed,,,
OkCredit,,1,50.4,01-01-2025,14-01-2026 09:28,Completed,,,
OkCredit,,2,34.6,01-01-2025,14-01-2026 09:28,Completed,,,
OkCredit,,3,33.2,01-01-2025,14-01-2026 09:28,Completed,,,
OkCredit,,4*,4.6,01-01-2025,14-01-2026 09:28,Completed,,,
OnEMI Technlology Solutions Limited,1,Portfolio 1,167.87,31-12-2025,14-01-2026 09:28,Completed,,,
OnEMI Technlology Solutions Limited,2,Portfolio 1,78.58,31-12-2025,14-01-2026 09:28,Completed,,,
OnEMI Technlology Solutions Limited,,Portfolio 2,180.47,31-12-2025,14-01-2026 09:28,Completed,,,
OnEMI Technlology Solutions Limited,,Portfolio 3,384.21,31-12-2025,14-01-2026 09:28,Completed,,,
OnEMI Technlology Solutions Limited,3,Portfolio 1,137.33,31-12-2025,14-01-2026 09:28,Completed,,,
OnEMI Technlology Solutions Limited,,Portfolio 2,379.85,31-12-2025,14-01-2026 09:28,Completed,,,
OnEMI Technlology Solutions Limited,4,Portfolio 1,0.37,31-12-2025,14-01-2026 09:28,Completed,,,
OnionLife Private Limited,,Portfolio 1,18.28,31-12-2025,14-01-2026 09:28,Completed,,,
OnionLife Private Limited,,Portfolio 2,8.08,31-12-2025,14-01-2026 09:28,Completed,,,
OnionLife Private Limited,,Portfolio 3,7.88,31-12-2025,14-01-2026 09:28,Completed,,,
OnionLife Private Limited,,Portfolio 4,5.54,31-12-2025,14-01-2026 09:28,Completed,,,
OnionLife Private Limited,,Portfolio 5,2.31,31-12-2025,14-01-2026 09:28,Completed,,,
OnionLife Private Limited,,Portfolio 6,2.23,31-12-2025,14-01-2026 09:28,Completed,,,
OnionLife Private Limited,,Portfolio 7,1.84,31-12-2025,14-01-2026 09:28,Completed,,,
OnionLife Private Limited,,Portfolio 8,1.67,31-12-2025,14-01-2026 09:28,Completed,,,
OnionLife Private Limited,,Portfolio 9,0.01,31-12-2025,14-01-2026 09:28,Completed,,,
PhonePe Lending Services Private Limited,1,Portfolio 1,363.8,31-12-2025,14-01-2026 09:28,Completed,,,
PhonePe Lending Services Private Limited,2,Portfolio 2,613,31-12-2025,14-01-2026 09:28,Completed,,,
PhonePe Lending Services Private Limited,3,Portfolio 3,55.7,31-12-2025,14-01-2026 09:28,Completed,,,
SaveIN Fintech Pvt Ltd,,Cohort 1,50,31-12-2025,14-01-2026 09:28,Completed,,,
SaveIN Fintech Pvt Ltd,,Cohort 2,30,31-12-2025,14-01-2026 09:28,Completed,,,
SaveIN Fintech Pvt Ltd,,Cohort 3,50,31-12-2025,14-01-2026 09:28,Completed,,,
SaveIN Fintech Pvt Ltd,,Cohort 4,20,31-12-2025,14-01-2026 09:28,Completed,,,
SaveIN Fintech Pvt Ltd,,Cohort 5,25,31-12-2025,14-01-2026 09:28,Completed,,,
SaveIN Fintech Pvt Ltd,,Cohort 6,20,31-12-2025,14-01-2026 09:28,Completed,,,
SaveIN Fintech Pvt Ltd,,Cohort 7,50,31-12-2025,14-01-2026 09:28,Completed,,,
SaveIN Fintech Pvt Ltd,,Cohort 8,20,31-12-2025,14-01-2026 09:28,Completed,,,
SaveIN Fintech Pvt Ltd,,Cohort 9,20,31-12-2025,14-01-2026 09:28,Completed,,,
SaveIN Fintech Pvt Ltd,,Cohort 10,25,31-12-2025,14-01-2026 09:28,Completed,,,
Si Creva Capital Services Private Limited,1,Portfolio 1,154.63,31-12-2025,14-01-2026 09:28,Partial,,,
Si Creva Capital Services Private Limited,,Portfolio 2,52.43,31-12-2025,14-01-2026 09:28,Partial,,,
Si Creva Capital Services Private Limited,2,-,,31-12-2025,14-01-2026 09:28,Partial,,,
Si Creva Capital Services Private Limited,3,-,,31-12-2025,14-01-2026 09:28,Partial,,,
Si Creva Capital Services Private Limited,4,Portfolio 1,1.3,31-12-2025,14-01-2026 09:28,Partial,,,
Si Creva Capital Services Private Limited,,Portfolio 2,2.99,31-12-2025,14-01-2026 09:28,Partial,,,
Si Creva Capital Services Private Limited,,Portfolio 3,26.44,31-12-2025,14-01-2026 09:28,Partial,,,
Si Creva Capital Services Private Limited,,Portfolio 4,21.43,31-12-2025,14-01-2026 09:28,Partial,,,
Si Creva Capital Services Private Limited,,Portfolio 5,37.28,31-12-2025,14-01-2026 09:28,Partial,,,
Si Creva Capital Services Private Limited,5,Portfolio 1,0.04,31-12-2025,14-01-2026 09:28,Partial,,,
Si Creva Capital Services Private Limited,6,Portfolio 1,7.56,31-12-2025,14-01-2026 09:28,Partial,,,
Si Creva Capital Services Private Limited,,Portfolio 2,34.9,31-12-2025,14-01-2026 09:28,Partial,,,
Smartcoin Financials Private Limited,,Portfolio 1,343.06,31-12-2025,14-01-2026 09:28,Completed,,,
Smartcoin Financials Private Limited,,Portfolio 2,221,31-12-2025,14-01-2026 09:28,Completed,,,
Smartcoin Financials Private Limited,,Portfolio 3,46.16,31-12-2025,14-01-2026 09:28,Completed,,,
Smartcoin Financials Private Limited,,Portfolio 4,220.83,31-12-2025,14-01-2026 09:28,Completed,,,
True Credits,,Portfolio - 1,1009.2,31-12-2025,14-01-2026 09:29,Completed,,,
True Credits,,Portfolio - 2,555.8,31-12-2025,14-01-2026 09:29,Completed,,,
True Credits,,Portfolio - 3,390.9,31-12-2025,14-01-2026 09:29,Completed,,,
True Credits,,Portfolio - 4,474.8,31-12-2025,14-01-2026 09:29,Completed,,,
True Credits,,Portfolio - 5,94.5,31-12-2025,14-01-2026 09:29,Completed,,,
True Credits,,Portfolio - 6,36.2,31-12-2025,14-01-2026 09:29,Completed,,,
True Credits,,Portfolio - 7,248,31-12-2025,14-01-2026 09:29,Completed,,,
True Credits,,Portfolio - 8,244.1,31-12-2025,14-01-2026 09:29,Completed,,,
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 1,11.92,31-10-2025,14-01-2026 09:29,Completed,,,
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio – 2,3.75,31-10-2025,14-01-2026 09:29,Completed,,,
